date,count
2017-12-16,32
2017-12-17,50
2017-12-18,70
2017-12-19,36
2017-12-20,1
2017-12-21,11
2017-12-24,3
2017-12-25,10
2017-12-26,5
2017-12-27,2
2017-12-29,2
2017-12-31,1
2018-01-02,1
2018-01-04,2
2018-01-06,2
2018-01-07,1
2018-01-08,2
2018-01-09,8
2018-01-10,1
2018-01-12,1
2018-01-17,1
2018-01-22,1
2018-01-23,3
2018-01-28,5
2018-02-02,2
2018-02-06,1
2018-02-13,1
2018-02-23,1
2018-03-05,1
2018-03-24,3
2018-04-28,3
2018-06-14,16
2018-06-15,3
2018-06-16,2
2018-06-19,1
2018-06-21,1
2018-06-22,1
2018-06-25,6
2018-06-27,1
2018-06-30,1
2018-07-01,1
2018-07-02,2
2018-07-04,3
2018-07-07,1
2018-07-09,3
2018-07-12,1
2018-07-13,6
2018-07-14,4
2018-07-15,2
2018-07-19,2
2018-07-20,7
2018-07-21,3
2018-07-24,2
2018-07-26,1
2018-07-27,6
2018-07-28,1
2018-07-29,7
2018-07-30,3
2018-07-31,27
2018-08-01,11
2018-08-02,4
2018-08-03,7
2018-08-04,3
2018-08-05,9
2018-08-06,2
2018-08-07,4
2018-08-08,11
2018-08-09,26
2018-08-10,41
2018-08-11,7
2018-08-12,3
2018-08-13,12
2018-08-15,1
2018-08-16,8
2018-08-17,4
2018-08-20,1
2018-08-25,1
2018-08-27,3
2018-09-07,2
2018-09-08,1
2018-09-15,1
2018-09-20,1
2018-10-02,1
2018-11-12,4
2018-11-13,1
2019-01-04,1
2019-03-14,1
2019-03-15,1
2019-03-25,1
2019-03-27,2
2019-03-28,3
2019-04-03,2
2019-04-11,1
2019-04-21,1
2019-04-22,1
2019-04-27,1
2019-04-30,1
2019-05-06,2
2019-05-17,1
2019-05-22,1
2019-05-24,1
2019-06-01,3
2019-06-03,1
2019-06-07,3
2019-06-09,2
2019-06-11,8
2019-06-13,13
2019-06-14,11
2019-06-16,2
2019-06-17,7
2019-06-18,5
2019-06-19,11
2019-06-20,3
2019-06-22,1
2019-06-23,1
2019-06-25,1
2019-06-26,18
2019-06-27,15
2019-06-28,6
2019-06-29,4
2019-06-30,11
2019-07-01,2
2019-07-02,1
2019-07-03,8
2019-07-04,8
2019-07-05,21
2019-07-06,2
2019-07-07,3
2019-07-08,7
2019-07-09,1
2019-07-10,5
2019-07-11,4
2019-07-12,8
2019-07-13,3
2019-07-14,3
2019-07-15,16
2019-07-16,2
2019-07-17,12
2019-07-18,16
2019-07-19,10
2019-07-21,1
2019-07-22,10
2019-07-23,1
2019-07-24,2
2019-07-25,25
2019-07-26,30
2019-07-27,13
2019-07-28,18
2019-07-29,27
2019-07-30,81
2019-07-31,28
2019-08-01,56
2019-08-02,240
2019-08-03,193
2019-08-04,140
2019-08-05,32
2019-08-06,37
2019-08-07,11
2019-08-08,21
2019-08-09,27
2019-08-10,6
2019-08-11,12
2019-08-12,10
2019-08-13,4
2019-08-14,8
2019-08-15,15
2019-08-16,20
2019-08-17,2
2019-08-18,1
2019-08-20,1
2019-08-22,13
2019-08-23,1
2019-08-24,1
2019-08-26,1
2019-08-27,2
2019-08-28,14
2019-08-29,1
2019-08-30,1
2019-09-02,4
2019-09-03,6
2019-09-04,3
2019-09-05,24
2019-09-07,1
2019-09-09,11
2019-09-11,4
2019-09-13,3
2019-09-14,2
2019-09-15,2
2019-09-17,8
2019-09-18,1
2019-09-19,2
2019-09-20,1
2019-09-21,1
2019-09-22,1
2019-09-23,2
2019-09-24,1
2019-09-25,1
2019-09-26,19
2019-09-27,2
2019-09-28,12
2019-09-29,1
2019-09-30,1
2019-10-01,12
2019-10-02,13
2019-10-03,16
2019-10-04,6
2019-10-05,3
2019-10-06,4
2019-10-10,3
2019-10-11,1
2019-10-12,1
2019-10-14,1
2019-10-15,2
2019-10-17,1
2019-10-18,1
2019-10-19,1
2019-10-20,2
2019-10-21,1
2019-10-22,3
2019-10-23,1
2019-10-24,1
2019-10-25,1
2019-10-26,1
2019-10-27,2
2019-10-28,1
2019-10-29,1
2019-10-30,16
2019-10-31,5
2019-11-01,4
2019-11-03,1
2019-11-04,1
2019-11-05,2
2019-11-06,1
2019-11-11,1
2019-11-12,1
2019-11-13,1
2019-11-14,1
2019-11-15,1
2019-11-17,1
2019-11-21,6
2019-11-25,2
2019-12-01,1
2019-12-02,1
2019-12-03,4
2019-12-04,5
2019-12-05,2
2019-12-06,8
2019-12-07,2
2019-12-09,3
2019-12-10,2
2019-12-11,4
2019-12-12,9
2019-12-14,1
2019-12-15,4
2019-12-16,9
2019-12-17,9
2019-12-18,8
2019-12-19,2
2019-12-20,2
2019-12-21,6
2019-12-22,2
2019-12-23,7
2019-12-24,10
2019-12-25,1
2019-12-26,4
2019-12-27,3
2019-12-28,3
2019-12-29,1
2019-12-31,1
2020-01-02,6
2020-01-03,5
2020-01-05,3
2020-01-06,2
2020-01-07,34
2020-01-08,23
2020-01-09,32
2020-01-10,16
2020-01-11,10
2020-01-12,5
2020-01-13,4
2020-01-14,22
2020-01-15,25
2020-01-16,17
2020-01-17,34
2020-01-18,14
2020-01-19,2
2020-01-20,9
2020-01-21,20
2020-01-22,8
2020-01-23,7
2020-01-24,8
2020-01-25,6
2020-01-26,13
2020-01-27,3
2020-01-28,1
2020-01-29,3
2020-01-30,2
2020-01-31,4
2020-02-01,1
2020-02-02,9
2020-02-03,1
2020-02-04,3
2020-02-05,5
2020-02-06,2
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,2
2020-02-11,2
2020-02-12,3
2020-02-13,1
2020-02-14,9
2020-02-15,2
2020-02-16,2
2020-02-17,1
2020-02-18,6
2020-02-20,6
2020-02-21,1
2020-02-23,1
2020-02-27,4
2020-02-28,2
2020-02-29,14
2020-03-01,3
2020-03-02,4
2020-03-03,3
2020-03-04,5
2020-03-05,2
2020-03-06,4
2020-03-07,2
2020-03-08,2
2020-03-09,5
2020-03-10,19
2020-03-11,3
2020-03-12,4
2020-03-13,9
2020-03-14,3
2020-03-15,2
2020-03-16,7
2020-03-17,1
2020-03-18,4
2020-03-19,8
2020-03-20,2
2020-03-21,1
2020-03-22,13
2020-03-23,2
2020-03-24,1
2020-03-27,3
2020-03-28,7
2020-03-29,2
2020-03-31,6
2020-04-01,13
2020-04-02,1
2020-04-03,2
