date,count
2017-12-11,82
2017-12-18,121
2017-12-25,20
2018-01-01,6
2018-01-08,12
2018-01-15,1
2018-01-22,9
2018-01-29,2
2018-02-05,1
2018-02-12,1
2018-02-19,1
2018-03-05,1
2018-03-19,3
2018-04-23,3
2018-06-11,21
2018-06-18,3
2018-06-25,9
2018-07-02,6
2018-07-09,16
2018-07-16,12
2018-07-23,17
2018-07-30,64
2018-08-06,94
2018-08-13,25
2018-08-20,2
2018-08-27,3
2018-09-03,3
2018-09-10,1
2018-09-17,1
2018-10-01,1
2018-11-12,5
2018-12-31,1
2019-03-11,2
2019-03-25,6
2019-04-01,2
2019-04-08,1
2019-04-15,1
2019-04-22,2
2019-04-29,1
2019-05-06,2
2019-05-13,1
2019-05-20,2
2019-05-27,3
2019-06-03,6
2019-06-10,34
2019-06-17,28
2019-06-24,55
2019-07-01,45
2019-07-08,31
2019-07-15,57
2019-07-22,99
2019-07-29,765
2019-08-05,146
2019-08-12,60
2019-08-19,16
2019-08-26,19
2019-09-02,38
2019-09-09,22
2019-09-16,14
2019-09-23,38
2019-09-30,55
2019-10-07,5
2019-10-14,8
2019-10-21,10
2019-10-28,28
2019-11-04,4
2019-11-11,6
2019-11-18,6
2019-11-25,3
2019-12-02,22
2019-12-09,23
2019-12-16,38
2019-12-23,29
2019-12-30,15
2020-01-06,122
2020-01-13,118
2020-01-20,71
2020-01-27,23
2020-02-03,15
2020-02-10,21
2020-02-17,15
2020-02-24,23
2020-03-02,22
2020-03-09,45
2020-03-16,36
2020-03-23,15
2020-03-30,25
2020-04-06,11
2020-04-13,11
2020-04-20,11
2020-04-27,15
2020-05-04,48
2020-05-11,133
2020-05-18,102
2020-05-25,87
2020-06-01,76
2020-06-08,62
2020-06-15,51
2020-06-22,20
2020-06-29,13
2020-07-06,13
2020-07-13,11
2020-07-20,16
2020-07-27,55
2020-08-03,58
2020-08-10,28
2020-08-17,16
2020-08-24,20
2020-08-31,83
2020-09-07,298
2020-09-14,97
2020-09-21,98
2020-09-28,97
2020-10-05,170
2020-10-12,86
2020-10-19,108
2020-10-26,134
2020-11-02,89
2020-11-09,96
2020-11-16,69
2020-11-23,119
2020-11-30,52
2020-12-07,39
2020-12-14,50
2020-12-21,61
2020-12-28,103
2021-01-04,42
2021-01-11,47
2021-01-18,235
2021-01-25,72
2021-02-01,53
2021-02-08,37
2021-02-15,30
2021-02-22,27
2021-03-01,20
2021-03-08,15
2021-03-15,29
2021-03-22,30
2021-03-29,22
2021-04-05,23
2021-04-12,42
2021-04-19,136
2021-04-26,802
2021-05-03,8650
2021-05-10,5265
2021-05-17,1523
2021-05-24,784
2021-05-31,981
2021-06-07,724
2021-06-14,1025
2021-06-21,778
2021-06-28,2316
2021-07-05,1956
2021-07-12,1387
2021-07-19,1120
2021-07-26,1286
2021-08-02,666
2021-08-09,860
2021-08-16,719
2021-08-23,1392
2021-08-30,1184
2021-09-06,1784
2021-09-13,1520
2021-09-20,2432
2021-09-27,2268
2021-10-04,3150
2021-10-11,2688
2021-10-18,2614
2021-10-25,2950
2021-11-01,3540
2021-11-08,12219
2021-11-15,6839
2021-11-22,3803
2021-11-29,3485
2021-12-06,3839
2021-12-13,3473
2021-12-20,10218
2021-12-27,5032
2022-01-03,2882
2022-01-10,2344
2022-01-17,3433
2022-01-24,2615
2022-01-31,2119
2022-02-07,2247
2022-02-14,2374
2022-02-21,1923
2022-02-28,1773
2022-03-07,11844
2022-03-14,7989
2022-03-21,6474
2022-03-28,1783
2022-04-04,2006
2022-04-11,1466
2022-04-18,1858
2022-04-25,2089
2022-05-02,6150
2022-05-09,1980
2022-05-16,1963
2022-05-23,1744
2022-05-30,2208
2022-06-06,1815
2022-06-13,4418
2022-06-20,2129
2022-06-27,1723
2022-07-04,2510
2022-07-11,2475
2022-07-18,5128
2022-07-25,15882
2022-08-01,2082
2022-08-08,2315
2022-08-15,3026
2022-08-22,4470
2022-08-29,2514
2022-09-05,2760
2022-09-12,5075
2022-09-19,2867
2022-09-26,3130
2022-10-03,5059
2022-10-10,3308
2022-10-17,3017
2022-10-24,8636
2022-10-31,9876
2022-11-07,3662
2022-11-14,4731
2022-11-21,7229
2022-11-28,6320
2022-12-05,6912
2022-12-12,5237
2022-12-19,5327
2022-12-26,5883
2023-01-02,8772
2023-01-09,9626
2023-01-16,9413
2023-01-23,8419
2023-01-30,10395
2023-02-06,7484
2023-02-13,6565
2023-02-20,6807
2023-02-27,10778
2023-03-06,10860
2023-03-13,6602
2023-03-20,5518
2023-03-27,6070
2023-04-03,7090
2023-04-10,7678
2023-04-17,12022
2023-04-24,9792
2023-05-01,10679
2023-05-08,10759
2023-05-15,10082
2023-05-22,9092
2023-05-29,9888
2023-06-05,12255
2023-06-12,8658
2023-06-19,10762
2023-06-26,11316
2023-07-03,10846
2023-07-10,12423
2023-07-17,11465
2023-07-24,12672
2023-07-31,20152
2023-08-07,21795
2023-08-14,20055
2023-08-21,19224
2023-08-28,17167
2023-09-04,19323
2023-09-11,17768
2023-09-18,18414
2023-09-25,18332
2023-10-02,19550
2023-10-09,19464
2023-10-16,17515
2023-10-23,21132
2023-10-30,21880
2023-11-06,19016
2023-11-13,23513
2023-11-20,20886
2023-11-27,25078
2023-12-04,23277
2023-12-11,21136
2023-12-18,27035
2023-12-25,21356
2024-01-01,20302
2024-01-08,26004
2024-01-15,22038
2024-01-22,16332
2024-01-29,18509
2024-02-05,17448
