date_only,hour,member_count
2022-08-24,17,4
2022-08-24,18,4
2022-08-24,19,5
2022-08-24,20,4
2022-08-24,21,4
2022-08-24,22,4
2022-08-24,23,4
2022-08-25,0,4
2022-08-25,1,4
2022-08-25,2,4
2022-08-25,3,4
2022-08-25,4,4
2022-08-25,5,4
2022-08-25,6,4
2022-08-25,7,3
2022-08-25,8,3
2022-08-25,9,3
2022-08-25,10,3
2022-08-25,11,3
2022-08-25,12,4
2022-08-25,13,5
2022-08-25,14,5
2022-08-25,15,1
2022-08-25,16,4
2022-08-25,17,4
2022-08-25,18,1
2022-08-25,19,1
2022-08-25,23,1
2022-08-26,6,2
2022-08-26,7,1
2022-08-26,12,2
2022-08-27,6,1
2022-08-28,6,1
2022-08-28,10,2
2022-08-28,21,1
2022-08-29,1,1
2022-08-29,5,1
2022-08-29,7,1
2022-08-29,11,1
2022-08-29,18,1
2022-08-29,20,1
2022-08-29,21,1
2022-08-29,22,1
2022-08-30,2,1
2022-08-30,5,1
2022-08-30,13,1
2022-08-30,14,1
2022-08-30,15,2
2022-08-30,16,4
2022-09-01,12,1
2022-09-01,16,1
2022-09-01,17,2
2022-09-03,21,1
2022-09-05,8,1
2022-09-08,9,1
2022-09-08,15,1
2022-09-08,16,1
2022-09-09,21,1
2022-09-10,7,1
2022-09-10,8,1
2022-09-12,2,1
2022-09-15,6,1
2022-09-15,10,1
2022-09-15,21,1
2022-09-16,10,1
2022-09-16,11,1
2022-09-17,5,1
2022-09-17,7,2
2022-09-17,11,1
2022-09-18,9,1
2022-09-19,9,1
2022-09-19,10,1
2022-09-19,12,1
2022-09-27,10,1
2022-09-27,13,1
2022-10-03,18,1
2022-10-12,12,1
2022-10-12,21,1
2022-10-13,16,1
2022-10-13,19,1
2022-10-14,9,1
2022-10-14,16,1
2022-10-14,20,1
2022-10-15,15,1
2022-10-15,16,1
2022-10-15,18,1
2022-10-16,13,1
2022-10-16,14,1
2022-10-16,15,1
2022-10-16,18,1
2022-10-16,23,1
2022-10-17,0,1
2022-10-17,9,1
2022-10-17,14,1
2022-10-17,18,1
2022-10-17,20,1
2022-10-18,20,1
2022-10-19,0,1
2022-10-19,10,1
2022-10-19,12,1
2022-10-20,18,1
2022-10-21,22,1
2022-10-22,0,1
2022-10-22,5,1
2022-10-22,10,1
2022-10-22,11,1
2022-10-22,12,1
2022-10-22,14,1
2022-10-22,15,1
2022-10-22,16,1
2022-10-22,17,1
2022-10-22,18,1
2022-10-22,19,1
2022-10-22,21,2
2022-10-22,22,1
2022-10-22,23,1
2022-10-23,1,1
2022-10-23,11,1
2022-10-23,12,1
2022-10-24,23,1
2022-10-25,12,1
2022-10-25,14,2
2022-10-25,15,1
2022-10-25,17,1
2022-10-26,0,2
2022-10-26,8,1
2022-10-26,10,2
2022-10-26,12,1
2022-10-29,16,2
2022-10-29,17,1
2022-10-29,21,1
2022-10-29,22,1
2022-10-30,8,1
2022-10-30,16,1
2022-10-30,18,1
2022-10-30,19,1
2022-10-30,20,2
2022-10-30,21,2
2022-10-30,22,1
2022-10-30,23,1
2022-10-31,1,1
2022-10-31,2,1
2022-10-31,3,1
2022-10-31,4,1
2022-10-31,5,1
2022-10-31,14,1
2022-10-31,16,1
2022-10-31,18,1
2022-10-31,19,1
2022-10-31,20,1
2022-11-01,1,1
2022-11-01,2,1
2022-11-01,17,1
2022-11-01,18,1
2022-11-02,11,1
2022-11-02,19,1
2022-11-03,3,1
2022-11-03,15,1
2022-11-03,23,1
2022-11-04,13,1
2022-11-04,19,1
2022-11-05,19,1
2022-11-06,12,1
2022-11-07,5,1
2022-11-07,6,1
2022-11-07,13,1
2022-11-08,2,1
2022-11-09,14,1
2022-11-10,7,1
2022-11-11,6,2
2022-11-12,8,1
2022-11-12,12,1
2022-11-12,13,1
2022-11-12,15,1
2022-11-12,16,1
2022-11-12,20,1
2022-11-13,0,1
2022-11-13,14,2
2022-11-13,19,1
2022-11-13,20,1
2022-11-13,21,1
2022-11-13,23,1
2022-11-14,7,1
2022-11-14,15,1
2022-11-15,10,1
2022-11-16,5,1
2022-11-16,8,1
2022-11-16,14,1
2022-11-17,9,1
2022-11-18,18,1
2022-11-19,7,1
2022-11-20,13,1
2022-11-22,5,1
2022-11-24,18,1
2022-11-25,16,2
2022-11-26,11,1
2022-11-26,20,1
2022-11-28,10,1
2022-11-28,11,1
2022-11-28,13,1
2022-11-28,22,1
2022-11-29,13,1
2022-11-29,15,1
2022-11-29,18,3
2022-11-29,19,1
2022-11-30,13,1
2022-11-30,15,1
2022-12-01,14,1
2022-12-01,21,1
2022-12-02,13,1
2022-12-02,14,1
2022-12-03,9,1
2022-12-04,22,1
2022-12-05,9,1
2022-12-05,15,1
2022-12-05,17,1
2022-12-08,9,1
2022-12-08,20,1
2022-12-08,21,1
2022-12-08,22,1
2022-12-09,6,1
2022-12-09,8,1
2022-12-10,15,1
2022-12-11,19,1
2022-12-11,20,1
2022-12-11,21,1
2022-12-12,6,1
2022-12-12,8,1
2022-12-12,12,1
2022-12-12,14,2
2022-12-12,15,1
2022-12-12,16,1
2022-12-12,19,1
2022-12-13,6,1
2022-12-13,13,1
2022-12-13,14,1
2022-12-13,15,1
2022-12-13,17,1
2022-12-13,18,1
2022-12-13,19,1
2022-12-14,12,1
2022-12-14,16,1
2022-12-15,6,1
2022-12-15,14,1
2022-12-18,11,1
2022-12-20,1,1
2022-12-20,6,1
2022-12-20,11,1
2022-12-20,12,1
2022-12-20,16,1
2022-12-21,2,1
2022-12-21,6,1
2022-12-21,9,1
2022-12-21,11,1
2022-12-21,18,1
2022-12-21,19,1
2022-12-22,9,1
2022-12-23,11,1
